pop2023,growthRate,country,cca3,region,subregion,landAreaKm,ranking.22,ranking.21,ranking.20,Education.Foreignborn,Education.Nativeborn,Migration.1,HDI.HDI,HDI.Mean_years_of_schooling,HDI.GNI,Happiness.Happiness2021,Happiness.Happiness2020,Happiness.ScoreChange
27202843,0.03796,Niger,NER,Africa,Western Africa-Sub-Saharan Africa,1266700,,,,,,,,,,5.074,4.91,0.164
7046310,0.01409,Nicaragua,NIC,North America,Central America-Latin America,120340,,81,95,,,,,,,5.972,6.137,-0.165
5228100,0.00826,NewZealand,NZL,Oceania,Australia and New Zealand,263310,58,69,47,,,53716,0.937,12.9,44057,,,
17618299,0.00309,Netherlands,NLD,Europe,Western Europe,33670,40,47,29,78.8,90.9,170612,0.941,12.6,55979,7.464,7.449,0.015
30896590,0.01143,Nepal,NPL,Asia,Southern Asia-South Central Asia,143350,89,91,102,,,,,,,5.269,5.137,0.132
2604172,0.01448,Namibia,NAM,Africa,Southern Africa-Sub-Saharan Africa,823290,,,,,,,,,,4.574,4.571,0.003
54577997,0.00736,Myanmar,MMR,Asia,South-Eastern Asia,652670,,,91,,,,,,,4.426,4.308,0.118
33897354,0.02814,Mozambique,MOZ,Africa,Eastern Africa-Sub-Saharan Africa,786380,,,,,,,,,,4.794,4.624,0.170
37840044,0.0102,Morocco,MAR,Africa,Northern Africa,446300,70,75,90,,,,,,,4.918,5.095,-0.177
626485,-0.00095,Montenegro,MNE,Europe,Southern Europe,13450,95,79,73,,,,0.832,12.2,20839,5.581,5.546,0.035
3447157,0.01436,Mongolia,MNG,Asia,Eastern Asia,1557506.8,29,11,29,,,,,,,5.677,5.456,0.221
3435931,0.04978,Moldova,MDA,Europe,Eastern Europe,32884.6,47,51,52,,,,,,,5.766,5.608,0.158
128455567,0.00746,Mexico,MEX,North America,Central America-Latin America,1943950,23,34,45,71.3,79.8,58430,,,,6.317,6.465,-0.148
1300557,0.00084,Mauritius,MUS,Africa,Eastern Africa-Sub-Saharan Africa,2030,,,,,,,0.802,10.4,22025,6.049,6.101,-0.052
4862989,0.02678,Mauritania,MRT,Africa,Western Africa-Sub-Saharan Africa,1030700,84,98,,,,,,,,4.227,4.375,-0.148
535064,0.00333,Malta,MLT,Europe,Southern Europe,320,,,,,,,0.918,12.2,38884,6.602,6.773,-0.171
23293698,0.03099,Mali,MLI,Africa,Western Africa-Sub-Saharan Africa,1220190,,,,,,,,,,4.723,4.729,-0.006
521020.99999999994,-0.00528,Maldives,MDV,Asia,Southern Asia-South Central Asia,300,,,,,,,,,,5.198,5.198,0.000
