pop2023,growthRate,country,cca3,region,subregion,landAreaKm
11337052,0.00454,Jordan,JOR,Asia,Western Asia-The Middle East,88794
18278568,0.03133,Chad,TCD,Africa,Middle Africa-Sub-Saharan Africa,1259200
21893579,0.00281,Sri Lanka,LKA,Asia,Southern Asia-South Central Asia,61860
1210822,0.00762,Eswatini,SWZ,Africa,Southern Africa-Sub-Saharan Africa,17200
852075,0.01829,Comoros,COM,Africa,Eastern Africa-Sub-Saharan Africa,1861
112716598,0.01556,Egypt,EGY,Africa,Northern Africa-The Middle East,995450
126527060,0.02551,Ethiopia,ETH,Africa,Eastern Africa-Sub-Saharan Africa,1128571.3
4862989,0.02678,Mauritania,MRT,Africa,Western Africa-Sub-Saharan Africa,1030700
30325732,0.02411,Madagascar,MDG,Africa,Eastern Africa-Sub-Saharan Africa,581800
9053799,0.02318,Togo,TGO,Africa,Western Africa-Sub-Saharan Africa,54390
20569737,0.02758,Zambia,ZMB,Africa,Eastern Africa-Sub-Saharan Africa,743390
8791092,0.02154,Sierra Leone,SLE,Africa,Western Africa-Sub-Saharan Africa,72180
1428627663,0.00808,India,IND,Asia,Southern Asia-South Central Asia,2973190
13238559,0.02708,Burundi,BDI,Africa,Eastern Africa-Sub-Saharan Africa,25680
34449825,0.02235,Yemen,YEM,Asia,Western Asia-The Middle East,527970
67438106,0.02963,Tanzania,TZA,Africa,Eastern Africa-Sub-Saharan Africa,885800
11724763,0.01206,Haiti,HTI,North America,Caribbean,27560
20931751,0.0258,Malawi,MWI,Africa,Eastern Africa-Sub-Saharan Africa,94280
2330318,0.01062,Lesotho,LSO,Africa,Southern Africa-Sub-Saharan Africa,30360
2675352,0.01713,Botswana,BWA,Africa,Southern Africa-Sub-Saharan Africa,566730
14094683,0.02308,Rwanda,RWA,Africa,Eastern Africa-Sub-Saharan Africa,24670
16665409,0.02113,Zimbabwe,ZWE,Africa,Eastern Africa-Sub-Saharan Africa,386850
42239854,0.02702,Afghanistan,AFG,Asia,South Central Asia-Southern Asia,652230
